invoice_id,customer_id,product_location_id,quantity,unit_price,markup_amount,total,date,time,payment,rating
750-67-8428,1,1,7,74.69,26.1415,548.9715,2019-01-05,13:08,Ewallet,9.1
226-31-3081,2,2,5,15.28,3.82,80.22,2019-03-08,10:29,Cash,9.6
631-41-3108,3,3,7,46.33,16.2155,340.5255,2019-03-03,13:23,Credit card,7.4
123-19-1176,4,1,8,58.22,23.288,489.048,2019-01-27,20:33,Ewallet,8.4
373-73-7910,3,4,7,86.31,30.2085,634.3785,2019-02-08,10:37,Ewallet,5.3
699-14-3026,3,2,7,85.39,29.8865,627.6165,2019-03-25,18:30,Ewallet,4.1
355-53-5943,1,5,6,68.84,20.652,433.692,2019-02-25,14:36,Ewallet,5.8
315-22-5665,2,6,10,73.56,36.78,772.38,2019-02-24,11:38,Ewallet,8
665-32-9167,1,1,2,36.26,3.626,76.146,2019-01-10,17:15,Credit card,7.2
692-92-5582,1,7,3,54.84,8.226,172.746,2019-02-20,13:27,Credit card,5.9
351-62-0822,1,8,4,14.48,2.896,60.816,2019-02-06,18:07,Ewallet,4.5
529-56-3974,4,9,4,25.51,5.102,107.142,2019-03-09,17:03,Cash,6.8
365-64-0515,2,5,5,46.95,11.7375,246.4875,2019-02-12,10:25,Ewallet,7.1
252-56-2699,3,10,10,43.19,21.595,453.495,2019-02-07,16:48,Ewallet,8.2
829-34-3910,2,1,10,71.38,35.69,749.49,2019-03-29,19:21,Cash,5.7
299-46-1805,1,11,6,93.72,28.116,590.436,2019-01-15,16:19,Cash,4.5
656-95-9349,1,1,7,68.93,24.1255,506.6355,2019-03-11,11:03,Credit card,4.6
765-26-6951,3,4,6,72.61,21.783,457.443,2019-01-01,10:39,Credit card,6.9
329-62-1586,3,10,3,54.67,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6
319-50-3348,2,12,2,40.3,4.03,84.63,2019-03-11,15:30,Ewallet,4.4
300-71-4605,4,2,5,86.04,21.51,451.71,2019-02-25,11:24,Ewallet,4.8
371-85-5789,3,13,3,87.98,13.197,277.137,2019-03-05,10:40,Ewallet,5.1
273-16-6619,3,12,2,33.2,3.32,69.72,2019-03-15,12:20,Credit card,4.4
636-48-8204,3,5,5,34.56,8.64,181.44,2019-02-17,11:15,Ewallet,9.9
549-59-1358,4,4,3,88.63,13.2945,279.1845,2019-03-02,17:36,Ewallet,6
227-03-5010,1,3,8,52.59,21.036,441.756,2019-03-22,19:20,Credit card,8.5
649-29-6775,3,8,1,33.52,1.676,35.196,2019-02-08,15:31,Cash,6.7
189-17-4241,2,14,2,87.67,8.767,184.107,2019-03-10,12:17,Credit card,7.7
145-94-9061,2,7,5,88.36,22.09,463.89,2019-01-25,19:48,Cash,9.6
848-62-7243,3,1,9,24.89,11.2005,235.2105,2019-03-15,15:36,Cash,7.4
871-79-8483,3,8,5,94.13,23.5325,494.1825,2019-02-25,19:39,Credit card,4.8
149-71-6266,4,11,9,78.07,35.1315,737.7615,2019-01-28,12:43,Cash,4.5
640-49-2076,3,11,8,83.78,33.512,703.752,2019-01-10,14:49,Cash,5.1
595-11-5460,3,1,2,96.58,9.658,202.818,2019-03-15,10:12,Credit card,5.1
183-56-6882,1,15,4,99.42,19.884,417.564,2019-02-06,10:42,Ewallet,7.5
